,Title,Author,TitleMain,Subtitle
8770,"Freight transportation : truck, rail, water, and hazardous materials, 1991.",,"Freight transportation : truck, rail, water, and hazardous materials, 1991.",
8773,"Sri Lanka / Anirban Mahapatra, Ryan Ver Berkmoes, Bradley Mayhew, Iain Stewart.",,Sri Lanka ," Anirban Mahapatra, Ryan Ver Berkmoes, Bradley Mayhew, Iain Stewart."
8783,Cartooning Washington : one hundred years of cartoon art in the Evergreen State / edited by Maury Forman and Rick Marschall ; text by Glen Baron.,,Cartooning Washington : one hundred years of cartoon art in the Evergreen State , edited by Maury Forman and Rick Marschall ; text by Glen Baron.
8806,"Resistance, rebellion, life : 50 poems now / edited and introduced by Amit Majmudar.",,"Resistance, rebellion, life : 50 poems now ", edited and introduced by Amit Majmudar.
8815,"Ultimate Minecraft secrets : an unofficial guide to Minecraft tips, tricks and hints to help you master Minecraft.",,"Ultimate Minecraft secrets : an unofficial guide to Minecraft tips, tricks and hints to help you master Minecraft.",
8830,Seattle city guide.,,Seattle city guide.,
8832,How business works : a graphic guide to business success.,,How business works : a graphic guide to business success.,
8858,"French English bilingual visual dictionary / senior editor, Angeles Gavira.",,French English bilingual visual dictionary ," senior editor, Angeles Gavira."
8866,"Children's illustrated thesaurus / [US Senior editor, Margaret Parrish, US Editor, Jenny Siklos].",,Children's illustrated thesaurus ," [US Senior editor, Margaret Parrish, US Editor, Jenny Siklos]."
8873,"Not for tourists guide to San Francisco / [managing editor, Scott Sendrow].",,Not for tourists guide to San Francisco ," [managing editor, Scott Sendrow]."
8900,5-minute Minnie tales.,,5-minute Minnie tales.,
8908,"The Oxford companion to classical civilization / edited by Simon Hornblower and Antony Spawforth ; assistant editor, Esther Eidinow.",,The Oxford companion to classical civilization ," edited by Simon Hornblower and Antony Spawforth ; assistant editor, Esther Eidinow."
8919,"Science! / written by Abigail Beall [and four others] ; illustrators, Peter Bull [eight others].",,Science! ," written by Abigail Beall [and four others] ; illustrators, Peter Bull [eight others]."
8928,Page to page : retrospectives of writers from The Seattle review / edited by Colleen J. McElroy.,,Page to page : retrospectives of writers from The Seattle review , edited by Colleen J. McElroy.
8947,American birds : a literary companion / edited by Andrew Rubenfeld and Terry Tempest Williams.,,American birds : a literary companion , edited by Andrew Rubenfeld and Terry Tempest Williams.
8979,"A warning / Anonymous, a senior Trump adminstration official.",,A warning ," Anonymous, a senior Trump adminstration official."
9067,"Barron's common core success. Grade 5 math : learn, review, apply / Tina Pfeiffer, consulting editor.",,"Barron's common core success. Grade 5 math : learn, review, apply "," Tina Pfeiffer, consulting editor."
9075,Dear Mrs. Roosevelt : letters to Eleanor Roosevelt through depression and war / edited by Cathy D. Knepper.,,Dear Mrs. Roosevelt : letters to Eleanor Roosevelt through depression and war , edited by Cathy D. Knepper.
9143,Leaders who changed history.,,Leaders who changed history.,
9173,Fieldwork and footnotes : studies in the history of European anthropology / edited by Han F. Vermeulen and Arturo Alvarez Roldán.,,Fieldwork and footnotes : studies in the history of European anthropology , edited by Han F. Vermeulen and Arturo Alvarez Roldán.
9212,Mastering workplace skills : writing fundamentals.,,Mastering workplace skills : writing fundamentals.,
9229,"Bedrock geologic map of the El Paso Mountains in the Garlack and El Paso Peaks 7-1/2 quadrangles, Kern County, California / by Michael D. Carr... [and others] ; U.S. Department of the Interior, U.S. Geological Survey.",,Bedrock geologic map of the El Paso Mountains in the Garlack and El Paso Peaks 7-1,"2 quadrangles, Kern County, California / by Michael D. Carr... [and others] ; U.S. Department of the Interior, U.S. Geological Survey."
9239,"Plat book of state of Minnesota / published by W.W. Hixson & Company, Rockford, Illinois ; 1999 reprint by Park Genealogical Books.",,Plat book of state of Minnesota ," published by W.W. Hixson & Company, Rockford, Illinois ; 1999 reprint by Park Genealogical Books."
9269,"The best American food writing 2019 / edited and with an introduction by Samin Nosrat ; Silvia Killingsworth, series editor.",,The best American food writing 2019 ," edited and with an introduction by Samin Nosrat ; Silvia Killingsworth, series editor."
9274,The poetry of dogs : a collection / by Olwen Way (ed.) ; illustrated by Maggie Raynor.,,The poetry of dogs : a collection , by Olwen Way (ed.) ; illustrated by Maggie Raynor.
9339,"The global Muslim community at a crossroads : understanding religious beliefs, practices, and infighting to end the conflict / Abdul Basit, editor.",,"The global Muslim community at a crossroads : understanding religious beliefs, practices, and infighting to end the conflict "," Abdul Basit, editor."
9405,The Penguin anthology of twentieth-century American poetry / edited with an introduction by Rita Dove.,,The Penguin anthology of twentieth-century American poetry , edited with an introduction by Rita Dove.
9415,Three popular French comedies / translations and notes by Albert Bermel.,,Three popular French comedies , translations and notes by Albert Bermel.
9421,Disney princess bedtime stories / all illustrations by the Disney Storybook Art Team.,,Disney princess bedtime stories , all illustrations by the Disney Storybook Art Team.
9442,Northern tales : traditional stories of Eskimo and Indian peoples / selected and edited by Howard Norman.,,Northern tales : traditional stories of Eskimo and Indian peoples , selected and edited by Howard Norman.
9475,Ultimate weird but true! 3.,,Ultimate weird but true! 3.,
9504,"Atlas of man / editor, John Gaisford.",,Atlas of man ," editor, John Gaisford."
9515,"An Amish Christmas Bakery : four stories / Amy Clipston, Beth Wiseman, Kathleen Fuller, and Kelly Irvin.",,An Amish Christmas Bakery : four stories ," Amy Clipston, Beth Wiseman, Kathleen Fuller, and Kelly Irvin."
9525,The Disney collection : easy piano.,,The Disney collection : easy piano.,
9562,Thomas and the buzzy bees.,,Thomas and the buzzy bees.,
9588,Philippines / Paul Harding [and four others].,,Philippines , Paul Harding [and four others].
9629,"W is for Washington / written by kids for kids ; [Jacob Allen ... [and others] ; editor, Michelle McCann].",,W is for Washington ," written by kids for kids ; [Jacob Allen ... [and others] ; editor, Michelle McCann]."
9661,"Better homes and gardens calorie-smart meals : 150 delicious dishes with <300, <400, and <500 calories.",,"Better homes and gardens calorie-smart meals : 150 delicious dishes with <300, <400, and <500 calories.",
9682,"English Renaissance prose : history, language, and politics / edited by Neil Rhodes.",,"English Renaissance prose : history, language, and politics ", edited by Neil Rhodes.
9685,Eyes of time : photojournalism in America / [edited] by Marianne Fulton ; with contributions by Estelle Jussim ... [and others].,,Eyes of time : photojournalism in America , [edited] by Marianne Fulton ; with contributions by Estelle Jussim ... [and others].
9695,"Knitting scarves from around the world / Kari Cornell, editor.",,Knitting scarves from around the world ," Kari Cornell, editor."
9699,The first civilizations to 500 BCE / edited by Clare Collinson.,,The first civilizations to 500 BCE , edited by Clare Collinson.
9755,5-minute Star Wars stories.,,5-minute Star Wars stories.,
9769,"The Holy Bible : containing the Old and New Testaments, translated out of the original tongues and with the former translations diligently compared & revised : King James Version.",,"The Holy Bible : containing the Old and New Testaments, translated out of the original tongues and with the former translations diligently compared & revised : King James Version.",
9772,Literature of the French and Occitan Middle Ages : eleventh to fifteenth centuries / edited by Deborah Sinnreich-Levi and Ian S. Laurie.,,Literature of the French and Occitan Middle Ages : eleventh to fifteenth centuries , edited by Deborah Sinnreich-Levi and Ian S. Laurie.
9854,U.S. and Russian policymaking with respect to the use of force / edited by Jeremy R. Azrael and Emil A. Payin.,,U.S. and Russian policymaking with respect to the use of force , edited by Jeremy R. Azrael and Emil A. Payin.
9911,"Mediterranean diet : 70 easy, healthy recipes / Good housekeeping.",,"Mediterranean diet : 70 easy, healthy recipes ", Good housekeeping.
9954,Wittgenstein's family letters : corresponding with Ludwig / edited with an introduction by Brian McGuinness ; translated by Peter Winslow.,,Wittgenstein's family letters : corresponding with Ludwig , edited with an introduction by Brian McGuinness ; translated by Peter Winslow.
9957,GED® test science review / LearningExpress.,,GED® test science review , LearningExpress.
9961,Baby dolphin's first swim / American Museum of Natural History.,,Baby dolphin's first swim , American Museum of Natural History.
9970,"New American world : a documentary history of North America to 1612 / edited, with a commentary by David B. Quinn, with the assistance of Alison M. Quinn and Susan Hillier.",,New American world : a documentary history of North America to 1612 ," edited, with a commentary by David B. Quinn, with the assistance of Alison M. Quinn and Susan Hillier."
9976,More fun with nature : take-along guide.,,More fun with nature : take-along guide.,
9982,Verse that is fun / selected by Barbara Ireson ; illustrated by George Adamson.,,Verse that is fun , selected by Barbara Ireson ; illustrated by George Adamson.
10009,"New voices from the longhouse : an anthology of contemporary Iroquois writing / edited by Joseph Bruchac, contributing editors, Maurice Kenny, Karoniaktatie.",,New voices from the longhouse : an anthology of contemporary Iroquois writing ," edited by Joseph Bruchac, contributing editors, Maurice Kenny, Karoniaktatie."
10023,Washington biographical dictionary : people of all times and places who have been important to the history and life of the state.,,Washington biographical dictionary : people of all times and places who have been important to the history and life of the state.,
10025,"The Joker. Death of the Family / Greg Capullo & FCO Plascencia, collection cover artists.",,The Joker. Death of the Family ," Greg Capullo & FCO Plascencia, collection cover artists."
10044,Nursing assistant/nurse aide exam.,,Nursing assistant,nurse aide exam.
10053,Yoga : your home practice companion / Sivananda Yoga Vedanta Centre.,,Yoga : your home practice companion , Sivananda Yoga Vedanta Centre.
10054,Dear teen me / edited by E. Kristin Anderson and Miranda Kenneally.,,Dear teen me , edited by E. Kristin Anderson and Miranda Kenneally.
10060,"The Magical Unicorn Society : a brief history of unicorns / compiled by Selwyn E. Phipps ; illustrated by Aitch, Oana Befort and Raee Ritchie.",,The Magical Unicorn Society : a brief history of unicorns ," compiled by Selwyn E. Phipps ; illustrated by Aitch, Oana Befort and Raee Ritchie."
10064,Leaders who changed history.,,Leaders who changed history.,
10077,"Leave the lipstick, take the iguana : funny travel stories and strange packing tips / edited by Marcy Gordon.",,"Leave the lipstick, take the iguana : funny travel stories and strange packing tips ", edited by Marcy Gordon.
10087,"A magic season : the year the Mariners made Seattle a baseball town / photography and text by the Seattle Post-Intelligencer staff featuring Art Thiel, Laura Vecsey and Joel Connelly.",,A magic season : the year the Mariners made Seattle a baseball town ," photography and text by the Seattle Post-Intelligencer staff featuring Art Thiel, Laura Vecsey and Joel Connelly."
10089,"Contemporary American religion / Wade Clark Roof, editor in chief.",,Contemporary American religion ," Wade Clark Roof, editor in chief."
10102,¡Manteca!: : an anthology of Afro-Latin@ poets / edited by Melissa Castillo-Garsow.,,¡Manteca!: : an anthology of Afro-Latin@ poets , edited by Melissa Castillo-Garsow.
10115,Here comes Mother Goose / edited by Iona Opie ; illustrated by Rosemary Wells.,,Here comes Mother Goose , edited by Iona Opie ; illustrated by Rosemary Wells.
10175,"The best American comics 2009 / edited and with an introduction by Charles Burns ; Jessica Abel & Matt Madden, series editors.",,The best American comics 2009 ," edited and with an introduction by Charles Burns ; Jessica Abel & Matt Madden, series editors."
10221,"Wanat : combat action in Afghanistan, 2008 / the staff of the US Army Combat Studies Institute.",,"Wanat : combat action in Afghanistan, 2008 ", the staff of the US Army Combat Studies Institute.
